Badge ID,Badge Name
2998040866283977,Beat The Tower of Genesis
1792274219914148,Beat The Tower of Buttons
1180657673680675,Beat The Tower of Motion Evolution
1985325594898930,Beat The Tower of Critical Damage
2424222337564254,Beat The Tower of Boost Mayhem
3194046165949700,Beat The Tower of Various Pressures
3190118081857963,Beat The Tower of Kinetic Potential
1406264843938633,Beat The Tower of No Strings Attached
2557966395367805,Beat The Tower of Keys To Success
3557168381486575,Beat The Tower of Dancing All Night
3615836876088083,Beat The Citadel of Victory
2479940534323983,Error 404: Unable to detect the tower
2125364300,Beat The Tower of A Simple Time
2125364239,Beat The Tower of Anger
2125364247,Beat The Tower of Madness
2125394398,Beat The Tower of Noticeable Infuriation
2125363409,Beat The Tower of Hecc
2125364325,Beat The Tower of Killjoys
2125364279,Beat The Tower of Keyboard Yeeting
2125364284, Beat The Tower of Stress
2125364203,Beat The Tower of Screen Punching
2125364213,Beat The Tower of Rage
2125364211,Beat The Tower of Impossible Expectations
2125364257,Beat The Tower of True Skill
2125364309,Beat The Thanos Tower
2125364319,Beat The Citadel of Laptop Splitting
2125364331,Can You Even Call This a Tower?
2125365118,Beat The Tower of Phone Snapping
2125365136,Beat The Tower of Big Hole
2125365125,Beat The Tower of Overcoming Hatred
2125365092, Beat The Tower of Cold Hands
2125365147,Beat The Tower of Falling and Failing
2125365144,Beat The Tower of Traps
2125365155,Beat The Tower of Deep Darkness
2125365112,Beat The Tower of Shattered Dreams
2125365132,Beat The Tower of Table Flipping
2125365108, Beat The Tower of Eternal Suffering
2125365158,Beat The Tower of Difficulty Chart
2125365166, Beat The Citadel of Wacky Strategy
2125365096,You Could Probably Call This a Tower
2125365471,Beat The Tower of Funny Thoughts
2125365525,Beat The Tower of Inverted Colors
2125365520,Beat The Tower of Ancient Trickery
2125365453,Beat The Tower of Deep Sighing
2125365461,Beat The Tower of Fatness
2125365451,Beat The Tower of Winning Every Run
2125365464,Beat The Tower of Slight Inconvenience
2125365515,Beat The Tower of Wall Hugging
2125365494,Beat The Tower of Lotsa Damage
2125365496,Beat The Tower of Despair
2125365521,Beat The Tower of Confusion
2125365543,Beat The Citadel of Heights and Depths
2125383817, Beat The Tower of Spiralling Heights
2125383766,Beat The Tower of Getting Gnomed
2125383841,Beat The Tower of Terrible Mondays
2125383779,Beat The Tower of Elysium
2125383837,Beat The Tower of Linonophobia
2125383785,Beat The Tower of Leaning Ledges
2125383771,Beat The Tower of Dust and Decay
2125383842,Beat The Tower of Holy Flip
2144113169,Beat The Tower of Oblivion
2125383773,Beat The Tower of Nonsensical Platforms
2125383775,Beat The Tower of Corrupted Nightmares
1702092531030865,Beat The Tower of Vivid Sections
2125383801,Beat The Tower of Inception
2125383807,Beat The Citadel of Uneasiness
2125383930,Beat The Tower of Nice Views
2125383926,Beat The Tower of Trivial Resentment
2125383920,Beat The Tower of Rigid Success
2125383947,Beat The Tower of Downward Mobility
2125383952,Beat The Tower of Obvious Chaos
2125383919,Beat The Tower of Floral Fury
2125383938,Beat The Tower of Extraordinary Adventures
2125383923,Beat The Tower of Tokyo Heights
2125383949,Beat The Tower of Glitching and Healing
2125383955,Beat The Tower of Fractured Obstacles
2125383934,Beat The Tower of Icy Blizzards
2125383912,Beat The Tower of Frightening Nightmares
2125383986,Beat The Citadel of Contrasting Regions
2125384025,Beat The Tower of Friendly Jumps
2125384021,Beat The Tower of Environmental Pain
2125384251,Beat The Tower of Radiant Realms
2125384250,Beat The Tower of Twisted Inquisition
2125384235,Beat The Tower of A Depressing Future
2125384272, Beat The Tower of Intense Solar Chaos
2125384245,Beat The Tower of Dispersed Rooms
2125384255,Beat The Tower of Flustering Sections 
2125384258, Beat The Tower of Niflheim
2125384017,Beat The Tower of Strategic Mechanics
2125384270,Beat The Tower of Impossible Movement
2125384265, Beat The Citadel of Scythe Recognition
2125394373, Beat The Tower of Rushed Building
2125394315,Beat The Tower of Collective Collaboration
2125394352,Beat The Tower of Feeling Lazy
2125394317,Beat The Tower of Distorted Aerodynamics
2125394368,Beat The Tower of Orientating Oscillating Opinions
2125394365,"Beat The Tower of Never Giving Up, Ever"
2125394357,Beat The Tower of Never Ending Dizziness
2125394379,Beat The Tower of Ultraviolet
2125394384,Beat The Tower of Yearning Victory
2125394321,Beat The Tower of Extreme Hell
2125394390,Beat The Tower of Terrifying Beauty
2125394329,Beat The Tower of Elongated Runs
2125394342,Beat The Citadel of True Exasperation
2125416493,Beat The Tower of Somewhat Simple Scaling
2125416489,Beat The Tower of Needing Basic Aptitude
2125416511,Beat The Tower of Voluminous Framework
2125416514,Beat The Tower of Vibrant Adventures
2125416501,Beat The Tower of Aamos' Anger
2125416517,Beat The Tower of Uneasy Scaling
2125416498,Beat The Tower of Insanely Innovative Ideas
2125416520,Beat The Tower of Verdant Entropy
