Badge ID,Badge Name
3796638866066915,Beat The Steeple of Zip Zap Pop!
3899085920365526,Beat The Steeple of Golf Course
3888765538122811,Beat The Tower of Sunshower Lambent
3149645911475376,Beat The Tower of Quantum Rhythm
3037871458495832,Beat The Tower of Steel and Thunder
1796543950477853,Beat The Tower of Fly High
191323548486651,Beat The Tower of Calm Before The Storm
1990803915387174,Beat The Tower of Ten Floors Challenge
1898816351102274,Beat The Steeple of Bad Cable Management
1627135012828323,Beat The Tower of Weird Energy
2701617455954789,Beat The Steeple of Dungeon Runner
3659539682222668,Beat The Steeple of Sunken Kingdoms
753369958334298,Beat The Tower of Fixture Park
1213659987351943,Beat The Tower of Nerves of Steel
2034712695514165,Beat The Tower of Geometric Kinetics
3607887245561763,Beat The Tower of Speeding Right Through
3805471735939366,Beat The Citadel of Treachery
